measure,visit,n,icc,icc_lo,icc_hi,cv_within,cv_lo,cv_hi,mean_diff,sd_diff,mean_diff_lo,mean_diff_hi,loa_lower,loa_upper,random_intercept,random_slope
FVC % predicted,V5,44,0.895,0.846,0.927,8.926,8.745,9.111,3.2414577727529297,13.398158032982696,-0.717444937769248,7.200360483275107,-23.018931971893153,29.501847517399014,participant,not fitted
FVC (L),V1,133,0.931,0.913,0.945,13.356,13.177,13.537,0.12303507882384888,0.5291606442261926,0.03310234668653474,0.21296781096116302,-0.9141197838594884,1.1601899415071861,participant,not fitted
FVC (L),V2,141,0.951,0.937,0.961,7.718,7.62,7.817,0.10820967706259339,0.45716699024894353,0.03274888148166952,0.18367047264351727,-0.7878376238253358,1.0042569779505226,participant,not fitted
FVC (L),V3,108,0.966,0.956,0.974,5.406,5.33,5.483,0.07247931661227285,0.35053974370643226,0.006367139584686293,0.1385914936398594,-0.6145785810523344,0.75953721427688,participant,not fitted
FVC (L),V4,69,0.971,0.959,0.979,6.318,6.208,6.431,0.08112941339900229,0.39223534682529376,-0.011420976803390576,0.17367980360139515,-0.6876518663785735,0.849910693176578,participant,not fitted
FVC (L),V5,44,0.951,0.924,0.966,8.255,8.087,8.426,0.1309820183429289,0.450982468594655,-0.0022747855343051016,0.26423882222016293,-0.752943620102595,1.0149076567884527,participant,not fitted
PEF (L),V1,133,0.939,0.921,0.951,10.58,10.439,10.724,-12.704783808647653,60.13913728042819,-22.925643925557686,-2.483923691737619,-130.5774928782869,105.1679252609916,participant,not fitted
PEF (L),V2,141,0.939,0.923,0.951,10.234,10.104,10.365,-20.466545334215752,64.41681981239148,-31.099300050800004,-9.8337906176315,-146.72351216650304,105.79042149807155,participant,not fitted
PEF (L),V3,108,0.963,0.951,0.971,8.227,8.112,8.344,-18.566353613719887,46.84615612071941,-27.401589623673438,-9.731117603766338,-110.38481961032991,73.25211238289015,participant,not fitted
PEF (L),V4,69,0.963,0.947,0.972,10.224,10.044,10.408,-12.361451975586256,53.09705370869504,-24.890034825428085,0.16713087425557305,-116.43167724462853,91.70877329345603,participant,not fitted
PEF (L),V5,44,0.935,0.901,0.955,15.221,14.91,15.539,-8.737478485370051,76.0233743130285,-31.200950097660694,13.725993126920592,-157.7432921389059,140.2683351681658,participant,not fitted
