measure,popn,tscale,visit,n,mean,sd,se,lo,hi,week_num
FVC % predicted,all,weekly,NA,117,0.4738198018365583,14.987217695882201,1.385568766129347,-2.2418949797769616,3.189534583450078,27
FVC % predicted,all,weekly,NA,114,2.490431729539695,14.645241482316598,1.3716525379525382,-0.19800724484727983,5.17887070392667,28
FVC % predicted,all,weekly,NA,115,2.494082487570101,17.530056005848177,1.6346861514175415,-0.7099023692082804,5.698067344348482,29
FVC % predicted,all,weekly,NA,111,1.4924767724471066,16.39306193293339,1.5559605808509642,-1.557205966020783,4.542159510914996,30
FVC % predicted,all,weekly,NA,121,2.6784747291032565,16.937863646114828,1.5398057860104388,-0.3395446114772036,5.696494069683716,31
FVC % predicted,all,weekly,NA,106,0.03988459023614856,15.235435610085146,1.479796321493012,-2.860516199890155,2.9402853803624525,32
FVC % predicted,all,weekly,NA,108,2.4925506905361945,15.587041860676065,1.499863802355215,-0.44718236208002704,5.432283743152416,33
FVC % predicted,all,weekly,NA,120,2.161247961480193,15.100878386171175,1.3785152883746936,-0.5406420037342063,4.863137926694593,34
FVC % predicted,all,weekly,NA,113,1.7863497977682719,15.384703999425064,1.4472712106163748,-1.0503017750398227,4.623001370576366,35
FVC % predicted,all,weekly,NA,114,0.7779669347916607,13.432289468848433,1.2580491733581651,-1.687809444990343,3.2437433145736643,36
FVC % predicted,all,weekly,NA,110,1.3678028931674295,17.26979364190736,1.6466102161550058,-1.8595531304963817,4.595158916831241,37
FVC % predicted,all,weekly,NA,108,1.5426161857308422,14.702717545925266,1.4147696554931644,-1.23033233903576,4.315564710497444,38
FVC % predicted,all,weekly,NA,98,2.49874431179474,15.895305804205012,1.6056683604553217,-0.6483656746976902,5.645854298287171,39
FVC % predicted,all,weekly,NA,99,2.866030895338815,17.093620306900583,1.7179734808117864,-0.5011971270522864,6.233258917729916,40
FVC % predicted,all,weekly,NA,99,4.092744034472568,17.486998325914946,1.7575094592919056,0.6480254942604327,7.537462574684703,41
FVC % predicted,all,weekly,NA,96,3.1921210376853395,14.961404905273538,1.5269919938788943,0.19921672968270698,6.185025345687972,42
