data,name,type,tmpt,visit,n,mean,sd,se,cv,nm
Clinic,fvcpp,Irrespective of disease status,same_day,V2,141,96.37,19.79,1.67,0.21,FVC % predicted
Clinic,fvcpp,Irrespective of disease status,same_day,V3,108,93.23,20.18,1.94,0.22,FVC % predicted
Clinic,fvcpp,Irrespective of disease status,same_day,V4,69,92.75,20.42,2.46,0.22,FVC % predicted
Clinic,fvcpp,Irrespective of disease status,same_day,V5,44,92.33,19.58,2.95,0.21,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_day,V1,133,91.17,20.48,1.78,0.22,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_day,V2,141,94.7,23.06,1.94,0.24,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_day,V3,108,91.89,19.61,1.89,0.21,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_day,V4,69,93.08,24.96,3,0.27,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_day,V5,44,88.64,24.17,3.64,0.27,FVC % predicted
Clinic,pef,Irrespective of disease status,same_day,V1,133,337.49,121.92,10.57,0.36,PEF (L)
Clinic,pef,Irrespective of disease status,same_day,V2,141,358.43,127.7,10.75,0.36,PEF (L)
Clinic,pef,Irrespective of disease status,same_day,V3,108,347.99,119.86,11.53,0.34,PEF (L)
Clinic,pef,Irrespective of disease status,same_day,V4,69,340.72,135.91,16.36,0.4,PEF (L)
Clinic,pef,Irrespective of disease status,same_day,V5,44,362.97,141.15,21.28,0.39,PEF (L)
Home,pef,Irrespective of disease status,same_day,V1,133,344.67,124.88,10.83,0.36,PEF (L)
Home,pef,Irrespective of disease status,same_day,V2,141,378.02,135.27,11.39,0.36,PEF (L)
Home,pef,Irrespective of disease status,same_day,V3,108,366.3,124.29,11.96,0.34,PEF (L)
Home,pef,Irrespective of disease status,same_day,V4,69,355.22,140.75,16.94,0.4,PEF (L)
Home,pef,Irrespective of disease status,same_day,V5,44,371.89,157.92,23.81,0.42,PEF (L)
Clinic,fef2575,During stable periods,same_week,V1,183,102.17,66.49,4.92,0.65,FEF25-75 (%)
Clinic,fef2575,During stable periods,same_week,V2,183,96.12,64.58,4.77,0.67,FEF25-75 (%)
Clinic,fef2575,During stable periods,same_week,V3,150,96.9,61.98,5.06,0.64,FEF25-75 (%)
Clinic,fef2575,During stable periods,same_week,V4,117,85.92,56.96,5.27,0.66,FEF25-75 (%)
Clinic,fef2575,During stable periods,same_week,V5,75,95.23,57.9,6.69,0.61,FEF25-75 (%)
Home,fef2575,During stable periods,same_week,V1,134,113.02,68.59,5.93,0.61,FEF25-75 (%)
